eco,min,clim. var. of min,,eco,max,clim. var. of max,,eco,min of abs,clim var of min of abs,,eco,max of abs,clim var of max of abs
262,-0.004976811,4,,262,0.033182738,12,,232,4.15E-18,8,,262,0.033182738,12
332,-2.35E-05,10,,332,1.74E-05,5,,M211,4.15E-18,1,,332,2.35E-05,10
321,-7.84E-06,7,,231,6.59E-06,6,,221,4.29E-18,2,,321,7.84E-06,7
M341,-6.91E-06,11,,321,4.90E-06,2,,231,1.09E-17,16,,M341,6.91E-06,11
231,-6.59E-06,5,,M341,4.77E-06,6,,M221,1.24E-17,16,,231,6.59E-06,5
315,-5.43E-06,5,,315,4.28E-06,1,,222,1.46E-17,4,,315,5.43E-06,5
261,-3.93E-06,10,,M223,3.46E-06,13,,251,3.01E-17,4,,261,3.93E-06,10
M221,-3.43E-06,5,,M221,3.43E-06,6,,223,3.02E-17,12,,M223,3.46E-06,13
255,-2.56E-06,10,,212,2.51E-06,6,,212,4.25E-17,12,,M221,3.43E-06,5
212,-2.51E-06,5,,255,2.41E-06,11,,M231,4.52E-10,4,,255,2.56E-06,10
M261,-2.13E-06,15,,261,2.34E-06,5,,211,4.94E-10,14,,212,2.51E-06,5
342,-1.86E-06,11,,211,2.10E-06,3,,341,7.43E-10,9,,M261,2.13E-06,15
211,-1.83E-06,10,,342,1.89E-06,7,,M242,1.11E-09,4,,211,2.10E-06,3
M334,-1.67E-06,2,,234,1.67E-06,11,,411,1.32E-09,11,,342,1.89E-06,7
331,-1.61E-06,6,,M262,1.67E-06,7,,M313,1.81E-09,11,,234,1.67E-06,11
M262,-1.58E-06,2,,331,1.65E-06,5,,M332,2.22E-09,9,,M262,1.67E-06,7
M223,-1.53E-06,2,,M313,1.45E-06,7,,M331,2.40E-09,9,,M334,1.67E-06,2
242,-1.24E-06,16,,M334,1.45E-06,7,,322,3.53E-09,4,,331,1.65E-06,5
251,-1.22E-06,5,,M261,1.41E-06,16,,331,4.57E-09,19,,M313,1.45E-06,7
322,-1.21E-06,10,,242,1.37E-06,7,,234,5.04E-09,4,,242,1.37E-06,7
341,-1.20E-06,7,,322,1.25E-06,5,,313,5.52E-09,9,,322,1.25E-06,5
313,-1.03E-06,13,,313,1.23E-06,10,,255,5.68E-09,18,,313,1.23E-06,10
234,-9.78E-07,3,,251,1.22E-06,6,,M223,6.35E-09,4,,251,1.22E-06,5
M313,-8.62E-07,2,,M242,8.28E-07,9,,M334,9.20E-09,14,,341,1.20E-06,7
M242,-6.74E-07,13,,341,7.69E-07,5,,263,1.74E-08,3,,M242,8.28E-07,9
222,-5.81E-07,6,,222,5.81E-07,5,,M262,1.75E-08,18,,222,5.81E-07,5
M333,-5.36E-07,10,,M332,4.38E-07,2,,M333,2.02E-08,12,,M333,5.36E-07,10
M332,-5.03E-07,5,,M333,4.34E-07,17,,342,2.22E-08,8,,M332,5.03E-07,5
263,-4.57E-07,16,,223,4.22E-07,6,,M341,3.32E-08,19,,263,4.57E-07,16
223,-4.22E-07,5,,263,3.57E-07,8,,261,4.78E-08,4,,223,4.22E-07,5
M231,-3.17E-07,10,,411,3.38E-07,13,,315,4.98E-08,3,,411,3.38E-07,13
M211,-3.01E-07,6,,M331,3.23E-07,11,,242,5.24E-08,4,,M331,3.23E-07,11
M331,-2.70E-07,10,,M211,3.01E-07,5,,M261,5.99E-08,4,,M231,3.17E-07,10
411,-1.97E-07,16,,M231,2.12E-07,5,,321,2.37E-07,4,,M211,3.01E-07,5
232,-1.83E-07,6,,232,1.83E-07,5,,332,3.15E-07,12,,232,1.83E-07,5
221,-4.31E-08,5,,221,4.31E-08,6,,262,5.13E-05,9,,221,4.31E-08,5
